id,Country,Food Namw,Taste
1,阿爾及利亞,火雞肉飯,柔軟
2,安哥拉,牛肉麵,綿滑
3,貝南,滷肉飯,酥脆
4,波札那,炕肉飯,香甜
5,英屬印度洋領地,鴨肉飯,可口
6,布吉納法索,蝦仁飯,脆滑
7,蒲隆地,蛋炒飯,晶瑩
8,喀麥隆,竹筒飯,鬆軟
9,維德角,排骨飯,肥美
10,中非,新丁粄,香甜
11,查德,台式飯糰,潤滑
12,葛摩,虱目魚,鮮黃
13,民主剛果,虱目魚肚,滋潤
14,剛果,浮水虱目魚羹,優質
15,象牙海岸,虱目魚肚粥,鮮甜
16,吉布地,鐵蛋,美味
17,埃及,牛肉湯,白淨
18,赤道幾內亞,魚丸湯,柔暖
19,厄利垂亞,四神湯,軟糯
20,衣索比亞,下水湯,糯香
21,加彭,菜尾湯,淡甜
22,甘比亞,黑白切,誘人
23,加納,蚵仔煎,精緻
24,幾內亞,蚵仔酥,細膩
25,幾內亞比索,鹹粥,香滑
26,肯亞,肉羹,酸
27,賴索托,蝦仁羹,甜
28,賴比瑞亞,花枝羹,苦
29,利比亞,羊肉羹,辣
30,馬達加斯加,豆簽羹,鹹
31,馬拉威,大麵羹,蔥
32,馬利,西魯肉,薑
33,茅利塔尼亞,肉粽,蒜
34,模里西斯,野薑花粽,洋蔥
35,馬約特,油飯,山柰
36,摩洛哥,筒仔米糕,芹菜
37,莫三比克,油蔥粿,香芹
38,納米比亞,豆菜麵,辣椒
39,尼日,關廟麵,花椒
40,奈及利亞,擔仔麵,胡椒
41,留尼旺,蚌麵,黑胡椒
42,盧安達,摵仔麵,白胡椒
43,聖赫勒拿,鱔魚意麵,紅胡椒
44,聖多美普林西比,鍋燒意麵,丁香
45,塞內加爾,玉里麵,肉桂
46,塞席爾,粄條,中國肉桂
47,獅子山,赤牛麵,百里香
48,索馬利亞,貓鼠麵,迷迭香
49,南非,傻瓜乾麵,大茴香子
50,南蘇丹,蚵仔麵線,小茴香子
51,蘇丹,炒米粉,蒔蘿
52,史瓦帝尼,米粉湯,八角
53,坦尚尼亞,米苔目,孜然
54,多哥,米香,葛縷子
55,突尼西亞,涼圓,薑黃
56,烏干達,肉圓,芥末
57,尚比亞,碗粿,山葵
58,辛巴威,摩訶粿,辣根
59,索馬利蘭,麵粉粿,藏紅花
60,撒拉威阿拉伯民主共和國,貢丸,香草
61,阿富汗,豬血糕,月桂
62,亞美尼亞,萬巒豬腳,梔子
63,亞塞拜然,鹹酥雞,羅勒
64,巴林,潤餅,龍蒿
65,孟加拉國,蝦餅,牛至
66,中華人民共和國,炭烤三明治,香茅
67,不丹,小米麻糬,風輪菜
68,汶萊,番薯圓,鼠尾草
69,柬埔寨,台灣燒仙草,牛膝草
70,聖誕島,芋饅頭,薰衣草
71,科科斯（基林）群島,珍珠,松露
72,賽普勒斯,奶茶,黑松露
73,喬治亞,木瓜牛乳,白松露
74,印度,青蛙下蛋,香辣椒
75,印尼,芒果冰,胭脂樹籽
76,伊朗,臭豆腐,月桂葉
77,伊拉克,深坑豆腐,黑種草
78,以色列,豆乳雞,酸瓜鈕
79,日本,鹽水雞,芹菜籽
80,約旦,麻油雞,芫荽
81,哈薩克,薑母鴨,咖哩葉
82,朝鮮,藥燉排骨,葫蘆巴
83,韓國,藥燉土虱,天堂椒
84,科威特,當歸鴨,杜松子
85,吉爾吉斯,東山鴨頭,芥菜籽
86,寮國,蔥油餅,肉豆蔻
87,黎巴嫩,滷味,甜椒
88,馬來西亞,臭臭鍋,石榴籽
89,馬爾地夫,鯊魚煙,罌粟籽
90,蒙古,烤香腸,鹽
91,緬甸,大餅包小餅,精製鹽
92,尼泊爾,大腸包小腸,芝麻
93,阿曼,刈包,酸模
94,巴基斯坦,咖啡香腸,酸子
95,菲律賓,膽肝,羅勒
96,卡達,麻辣鴨血,佛手柑
97,俄羅斯,香雞排,香菜
98,沙烏地阿拉伯,沙拉船,西洋菜
99,新加坡,魚酥,蒲公英
100,斯里蘭卡,甘梅薯條,蒔蘿
101,敘利亞,燒酒螺,香茅
102,塔吉克,大雕燒,薄荷
103,泰國,烤鳥蛋,芥子
104,東帝汶,炸𩵚魠魚,香芹
105,土耳其,炸棗,迷迭香
106,土庫曼,大溪豆乾,藥用鼠尾草
107,阿拉伯聯合大公國,馬祖魚丸,香辣蓼
108,亞克羅提利與德凱利亞,糯米腸,七葉蘭
109,烏茲別克,雞捲,番紅花
110,越南,狀元糕,碌柚葉
111,葉門,貓掌燒,九層塔
112,阿布哈茲,糕渣,芫茜
113,北賽普勒斯,烤魷魚,斑蘭葉
114,巴勒斯坦,里港扁食,
115,中華民國,水煎包,
116,南奧塞提亞,湯圓,
117,奧蘭群島,月餅,
118,阿爾巴尼亞,綠豆椪,
119,安道爾,蛋黃酥,
120,奧地利,太陽餅,
121,白俄羅斯,卷煎,
122,比利時,鹹餅,
123,波士尼亞與赫塞哥維納,蔥抓餅,
124,保加利亞,蔥餅,
125,克羅埃西亞,蛋餅,
126,捷克,牛舌餅,
127,丹麥,共匪餅,
128,愛沙尼亞,肚臍餅,
129,法羅群島,胡a椒餅,
