place_id,keywords
ChIJqUjT6l2rQjQRmbXqxnua0rs,"['飯店', '入住', '沒有', '房間', '早餐', '電梯', '有點', '空調', '寵物', '味道']"
ChIJ8yTxWq2uQjQRPx2hN4IMZ-Y,"['飯店', '圓山', '房間', '整個', '宴會', '服務人員', '沒有', '照片', '同房', '入住']"
ChIJTSdlQZSrQjQRTGf6AJggr8c,"['不錯', '軟嫩', '口感', '九孔', '鮑魚', '服務', '龍蝦', '房間', '味道', '搭配']"
ChIJBa1E152rQjQRnwWQP1HSkSc,"['房間', '飯店', '沒有', '櫃台', '入住', '很棒', '牙刷', '家人', '牙膏', '一間']"
ChIJkwKVntOrQjQR4ihQw4LzzcU,"['客房', '飯店', '港式', '設備', '旅客', '商務', '北美', '牛排', '大安', '房間']"
ChIJ0chAiKOuQjQRIDhnATBLMIs,"['空間', '早餐', '士林', 'check', '萬麗', '房間', '官邸', '沒有', '親切', '飯店']"
ChIJCV7mQo-sQjQRW-aKoMqIQok,"['房間', '浴缸', '飯店', '沒有', '空間', '不會', '因為', '問題', 'check', '11']"
ChIJyYKzDA6sQjQR5zhB9ZuJ-JM,"['noodles', '不會', '因為', '熱情', '服務', '果汁', '協助', '沒有', '選擇', 'eat']"
ChIJ8_DCaHupQjQRAOlRML45pNw,"['飯店', '房間', '設施', '四星', '浴室', '日本', '浴缸', '主題', '選擇', '剛好']"
ChIJs_aU3OGrQjQRNlzqap58NOc,"['這樣', '服務', '婚禮', 'Renee', '小姐姐', '協助', '大廳', '入住', '酒店', '萬豪']"
ChIJU8qspd2rQjQR8PZlCpcfcm4,"['沒有', '一個', '因為', '房內', '飯店', '無法', '設備', '早餐', '回來', '暖氣']"
ChIJMbkdhH-pQjQRkKcQqg-re1c,"['房間', '還有', '浴缸', '窗戶', '飯店', '提供', '發現', '沒有', '不錯', '清潔']"
ChIJKUmKQmOsQjQRkLvqX0HNnpU,"['房間', '不錯', '乾淨', '冷氣', '整體', '可停', '方便', '三床', '環境還', '服務真']"
ChIJaZ9KuiOrQjQR5lAZcRypzNo,"['酒店', '早餐', '跨年', '入住', '時間', '房間', 'check', '兩夜', '專案', '30']"
ChIJ3y1qn8WrQjQRT2SCMGiSng8,"['房間', '乾淨', '隔音', '浴缸', '相當', '餐廳', '感覺', '還有', '可以', '早餐']"
ChIJGcgzQjSrQjQR5NU7J7KyZmg,"['房間', '飯店', '非常', '入住', '反應', '感覺', '推薦', '方便', '三井', '早餐']"
ChIJteCZ1LOrQjQRhwLlSSB_U_w,"['飯店', '29000', '沒有', '入住', '房間', '額度', '非常', '住宿', '客服', '夜店']"
ChIJ9WrnbGapQjQRw_PkB8cfKhQ,"['房間', '雖然', '飯店', '時間', '可以', '早餐', '抓周', '非常', '服務', '10']"
ChIJfVZSaOSrQjQReYBvXhWBgzg,"['房間', '入住', '人員', '還有', '剛好', '沒有', '態度', '什麼', '因為', '處理']"
ChIJnf8AryOsQjQROfF-jt_s3Ec,"['房間', '早餐', '前台', '浴缸', '舒適', '飯店', '喜歡', '免費', '用心', '瘦肉粥']"
ChIJdePBS9OrQjQRB4GFLJLtyjk,"['房間', '沒有', '那個', '他們', 'Agoda', '飯店', '處理', '顧客', '客房', '三溫']"
ChIJk327S2ipQjQRWrAkeyEOUMA,"['飯店', '人員', '房間', '意舍', '有點', '還有', '沒有', '行李', '入住', '客人']"
ChIJ9TIEkbarQjQRhFY8KKOD-7A,"['101', '房間', '飯店', '什麼', '預約', '這種', '地點', '一個', '房價', '停車場']"
ChIJc7GUdXCpQjQRaeAe8F-7iyY,"['00', '房間', '嬰兒', '用餐', '2F', '茶點', '二樓', '停車場', '特約', '沒有']"
ChIJAaMjLISpQjQRgjsXYfrppMY,"['房間', '電梯', '缺點', '沒有', '空間', '非常', '消毒水', '有師', '分鐘', '環境']"
ChIJaQLliDGvQjQRc6lXFYM97TE,"['房間', '飯店', '入住', '湯屋', '設備', '沒有', '還有', '不會', '承德路', '感覺']"
ChIJ9T16NGmpQjQRxjVcjpgsbRk,"['飯店', '地點', '雖然', '不錯', '浴缸', '電視', '應該', '還有', '房間', '空間']"
ChIJDc_VyWysQjQRhQPLwTp443I,"['飯店', '服務人員', '不錯', '嬰兒', '早餐', '非常', '服務', '態度', '感覺', '房間']"
ChIJ1VKEUtCrQjQRmV5BtKEN2-k,"['房內', '房間', '免費', '電視', '水果', '早餐', '專業', '飲料', '服務', '整潔']"
ChIJDaNg8eerQjQR2WM6DWnGXGU,"['房間', '旅館', '服務人員', '餐點', '設備', '期間', '填寫', '防疫', '外出', '隔離']"
ChIJF0ngQOSrQjQRGiwlsHtYXQU,"['飯店', '房間', '整體', '馥敦', '馥寓', '主餐', '選擇', '缺點', '沒有', '空間']"
ChIJoW8625urQjQRupQo-CWyZNQ,"['房間', '夜市', '河邊', '因為', '有點', '乾淨', '濕機', '飯店', '地點', '饒河']"
ChIJDZHrcOerQjQR8Y5jVhInyTM,"['飯店', '房間', '幾乎', '雖然', '分鐘', '服務', '非常', '渡假', '沒有', '環境']"
ChIJ8biLVmqtQjQRkxvyWmPGSaE,"['房間', '因為', '號房', '前台', '酒店', '發現', '這個', '枕頭', '早餐', '12']"
ChIJT6hK7c2rQjQRgAY8k8L5EIU,"['飯店', '服務', '入住', '感覺', '慕軒', '謝謝', '整個', '台北', '真的', '一個']"
ChIJKanLVw2sQjQRit_tnMKZm6Q,"['飯店', '....', '入住', '客房', '酒店', '.....', '萬豪', '天際', '應該', '空間']"
ChIJy6vhZsmrQjQRguQzMejoBiI,"['房間', '早餐', '飯店', 'n1', '親切', '微風', '人員', 'n2', '還有', 'n3']"
ChIJ1cgbi9WrQjQRU7K5-OuV7d0,"['飯店', '服務人員', '房間', '三溫', '不會', '風機', '早餐', '真的', '按摩', '福容']"
ChIJc0xjJByoQjQRHyHl1V2DpAI,"['飯店', '訂位', '餐廳', '人員', '這樣', '貼紙', '客人', '態度', '這位', '怎麼']"
ChIJLa6jNm6oQjQRehyyJBiAkAo,"['入住', '服務', '酒店', '過去', '飯店', '服務人員', '設施', '客人', '櫃台', '什麼']"
ChIJq_eNiVipQjQRtK13mtOXTSg,"['房間', '飯店', '入住', '大廳', '停車場', '一個', '告知', '餐廳', '人員', '一樓']"
ChIJ7yglkB6oQjQRbTrDqneWpAA,"['停電', '溫度', '問題', '房間', '空調', '房客', '飯店', '因為', '無法', '冷氣']"
