name,keywords
馬友友印度清真餐廳,"['咖哩', '烤餅', '非常', '甜點', '推薦', '店員', '口味', '烤牛肉', '一直', '咖喱']"
馬友友印度餐廳酒吧+水煙館,"['香料', '咖喱', '雞肉', '烤餅', '風格', '咖哩', '肚皮舞', '味道', '濃湯', '還有']"
Mellow Bar & Restaurant-東區精釀啤酒|聚餐餐廳|必吃餐酒館|網美餐酒館|必去酒吧|人氣酒吧,"['餐點', '感覺', '好喝', '餐酒館', '不過', '美式', '有點', '調酒', '紫蘇', '沒有']"
星期五美式餐廳（美麗華）,"['起司', '沙拉', '這個', '濃湯', '牛排', '搭配', '蕃茄', '豬肋排', '薯條', '機會']"
非常泰 - 復興店,"['用餐', '泰式', '超級', '蝦餅', '時間', '選擇', '餐點', '不過', '下飯', '起來']"
紅翻天生猛海鮮,"['熱炒', '氣氛', '新鮮', '音樂', '熱鬧', '推薦', '龍珠', '白飯', '食材', '還不錯']"
Old Seat Restaurant Cafe 川酒.咖啡,"['味道', '這裡', '推薦', '1010', '菜色', '整體', '體驗', '適合', '沒有', '調酒']"
莫夏67印度餐廳大安店 Moksha 67 indian restaurant-daan branch,"['香料', '烤餅', '咖哩', '味道', '奶茶', '印度', '球餅', '起來', '口味', '料理']"
baan Taipei 正宗泰式家常料理,"['10%', '泰式', '蝦餅', '起來', '口味', '沒有', '金錢', '雖然', '餐廳', '喜歡']"
My Other Place Restaurant &Bar 我的家餐廳酒吧,"['適合', '脆脆', '妹酒', '甜酸', '酸辣', '口味', '牛肉', '很多', '酷酷', '薯片']"
巴雷巴雷印度餐廳,"['烤餅', '印度', '非常', '羊肉', '餐廳', '推薦', '親切', '雞肉', '優格', '薄荷']"
籌學費餐廳,"['牛肉', '服務費', '味道', '不錯', '大利', '建議', '中間', '起司', '千層', '有點']"
浪漫一生西餐廳,"['西餐', '酥皮', '感覺', '體驗', '點了', '24', '小時', '很糟', '台式', '一口']"
渣男 Taiwan Bistro 敦北三渣,"['150', '調酒', '餐點', '座位', '不過', '訂位', '沒有', '介紹', '一點', '320']"
特奥蒂瓦坎,"['覺得', '墨西哥', '起來', 'Taco', '料理', '一個', '口感', '火鍋', '不會', '不錯']"
大曜居酒屋,"['串燒', '不錯', '整體', '明太子', '裝潢', '價格', '選項', '烏龍', '往內場', '微風']"
RAW,"['非常', '體驗', '整個', '餐點', '料理', '松茸', '一道', '米其林', 'RAW', '這麼']"
隱家居酒屋,"['推薦', '食材', '店家', '茶碗', '料理', '口感', '美味', '餐點', '現點現', '沒有']"
"馬友友印度蔬食餐廳 Mayur Indian Kitchen Vegetarian restaurant, MIK-3","['蔬食', '印度', '餐廳', '起來', '烤餅', '咖哩', '香料', '料理', '非常', '營業']"
すき家忠孝復興,"['套餐', '魚飯', '店員', '24H', '品質', '份量', '一般般', '吧台', '浦燒', '鰻魚']"
Leone Restaurant & Bar｜台北餐酒館 ｜酒吧｜ 餐廳 ｜餐酒館 ｜中山美食｜中山餐酒館｜ 林森北酒吧,"['蟹肉', '有點', '感覺', '整體', '口味', '莎莎', '特別', '滿多', '不過', '新鮮']"
老朋友小酌熱炒,"['白飯', '起來', '特別', '脆口', '可以', '牛肉', '口感', '脆皮', '點了', '很脆']"
大隱酒食,"['味道', '還有', '經過', '酥炸', '肥腸', '台菜', '店家', '料理', '肉丸子', '良伴']"
極燒 居酒屋,"['整體', '甜不辣', '服務', '下酒', '每道菜', '明太子', '覺得', '沒有', '什麼', '亮點']"
77 opèt Restaurant,"['一個', '前菜', '沒有', '油封', '喜歡', '選擇', '餐廳', '餐點', '1680', '鴨腿']"
小林海產,"['小份', '超級', '雖然', '盤子', '一個', '不會', '龍珠', '份量', '非常', '炒店']"
すき家大安,"['餐點', '起來', '牛肉', '味道', '衛生', '因為', '小時', '營業', '問題', '不會']"
Aye Taipei Bar & Restaurant,"['肉汁', 'Sunday', '星期天', '辣椒', '親切', '推薦', '不會', '幾乎', '剛好', '餐點']"
戰醬燒烤【雙城店】台北美食 台北restaurant 台北吃到飽 台北燒肉 中山區美食 中山區吃到飽 中山國小美食,"['店員', '這樣', '真的', '吃過', '用餐', '這邊', '整體', '什麼', '因為', '覺得']"
Rebirth Cafe & Restaurant,"['餐點', '有點', '好喝', '份量', '黑板', '草莓', '吐司', '羊肉', '搭配', '18']"
the Diner 樂子信義旗艦店,"['漢堡', '餐點', '不過', '選擇', '不錯', '薯條', '美式', '半份', '芝麻', '比較']"
星期五美式餐廳(西門餐廳),"['豬肋排', '...', '美式', '一送', '服務', '飲料', '用餐', '酒精', '有點', '不錯']"
薩莉亞 西門店,"['價格', '份量', '這個', '不錯', '現在', '便宜', '培根', '海鮮', '150', '餐廳']"
狗一下居食酒屋-西門店,"['用餐', '套餐', '空間', '態度', '蛤蜊', '黑糖', '牛舌', '豐富', '增湯', '服務生']"
隱居風味居酒屋,"['小時', '用餐', '限時', '炸物', '運站', '三個', '190', '餐點', '特別', '服務態度']"
