place_id,keywords
ChIJaU_-FyqrQjQRbLmzDXFaj5E,"['咖哩', '烤餅', '非常', '甜點', '推薦', '店員', '口味', '烤牛肉', '一直', '咖喱']"
ChIJJXnO0barQjQR0ZJz1JGJ8v4,"['香料', '咖喱', '雞肉', '烤餅', '風格', '咖哩', '肚皮舞', '味道', '濃湯', '還有']"
ChIJA35dJHyrQjQRJ-sD3kSwWUY,"['餐點', '感覺', '好喝', '餐酒館', '不過', '美式', '有點', '調酒', '紫蘇', '沒有']"
ChIJ21GPVhKsQjQRO3C5Xb-roFY,"['起司', '沙拉', '這個', '濃湯', '牛排', '搭配', '蕃茄', '豬肋排', '薯條', '機會']"
ChIJy0NrQeSrQjQRVlv2fBcHVEA,"['用餐', '泰式', '超級', '蝦餅', '時間', '選擇', '餐點', '不過', '下飯', '起來']"
ChIJ1aNM91upQjQR4b2RE-l0QpM,"['熱炒', '氣氛', '新鮮', '音樂', '熱鬧', '推薦', '龍珠', '白飯', '食材', '還不錯']"
ChIJZb55kW6rQjQR3vVUh5vYQ9w,"['味道', '這裡', '推薦', '1010', '菜色', '整體', '體驗', '適合', '沒有', '調酒']"
ChIJtxAbUsSrQjQRnqXBc75y9kE,"['香料', '烤餅', '咖哩', '味道', '奶茶', '印度', '球餅', '起來', '口味', '料理']"
ChIJf2dK2ByrQjQRfHOeIaZhkgs,"['10%', '泰式', '蝦餅', '起來', '口味', '沒有', '金錢', '雖然', '餐廳', '喜歡']"
ChIJIZq0POSrQjQRG5DdftgNCTQ,"['適合', '脆脆', '妹酒', '甜酸', '酸辣', '口味', '牛肉', '很多', '酷酷', '薯片']"
ChIJJ-1vL8CrQjQR5-OL_J-WxL8,"['烤餅', '印度', '非常', '羊肉', '餐廳', '推薦', '親切', '雞肉', '優格', '薄荷']"
ChIJ0RrGQ8irQjQR3tnVYowd0w8,"['牛肉', '服務費', '味道', '不錯', '大利', '建議', '中間', '起司', '千層', '有點']"
ChIJKRaPzl2pQjQR5SjG89Umehw,"['西餐', '酥皮', '感覺', '體驗', '點了', '24', '小時', '很糟', '台式', '一口']"
ChIJ6bB8q-urQjQR1ylsOn148hg,"['150', '調酒', '餐點', '座位', '不過', '訂位', '沒有', '介紹', '一點', '320']"
ChIJ8VNyWSqqQjQRz_rrWE4OhkI,"['覺得', '墨西哥', '起來', 'Taco', '料理', '一個', '口感', '火鍋', '不會', '不錯']"
ChIJ6dM00terQjQRKsKhQr1ciz4,"['串燒', '不錯', '整體', '明太子', '裝潢', '價格', '選項', '烏龍', '往內場', '微風']"
ChIJb6wy1BKsQjQRH0ZtKS1hxzc,"['非常', '體驗', '整個', '餐點', '料理', '松茸', '一道', '米其林', 'RAW', '這麼']"
ChIJEanFA2WpQjQRjJTsiT07jKs,"['推薦', '食材', '店家', '茶碗', '料理', '口感', '美味', '餐點', '現點現', '沒有']"
ChIJ0WUQYWOpQjQRE_i62NcfjM8,"['蔬食', '印度', '餐廳', '起來', '烤餅', '咖哩', '香料', '料理', '非常', '營業']"
ChIJeSyGOtqrQjQR7sQWZL6Nea0,"['套餐', '魚飯', '店員', '24H', '品質', '份量', '一般般', '吧台', '浦燒', '鰻魚']"
ChIJpSovG2ypQjQRpjSy5jvQbTU,"['蟹肉', '有點', '感覺', '整體', '口味', '莎莎', '特別', '滿多', '不過', '新鮮']"
ChIJ7YtJ8cyrQjQRiNsxNu9BYvo,"['白飯', '起來', '特別', '脆口', '可以', '牛肉', '口感', '脆皮', '點了', '很脆']"
ChIJzeBtdYSpQjQRop5qz3tZxW0,"['味道', '還有', '經過', '酥炸', '肥腸', '台菜', '店家', '料理', '肉丸子', '良伴']"
ChIJB-2k0MGpQjQRZAlBZsOCPLo,"['整體', '甜不辣', '服務', '下酒', '每道菜', '明太子', '覺得', '沒有', '什麼', '亮點']"
ChIJxTLhpyg9aTQRecXNly6631M,"['一個', '前菜', '沒有', '油封', '喜歡', '選擇', '餐廳', '餐點', '1680', '鴨腿']"
ChIJyf0ig8mrQjQRjHYcCfHzpUE,"['小份', '超級', '雖然', '盤子', '一個', '不會', '龍珠', '份量', '非常', '炒店']"
ChIJ_cJ4RtOrQjQRjIcmW5MPLzE,"['餐點', '起來', '牛肉', '味道', '衛生', '因為', '小時', '營業', '問題', '不會']"
ChIJ1aAxzRCpQjQRUFCLQyeCIl8,"['肉汁', 'Sunday', '星期天', '辣椒', '親切', '推薦', '不會', '幾乎', '剛好', '餐點']"
ChIJo7dNCvupQjQRQ6gWdn0pNxw,"['店員', '這樣', '真的', '吃過', '用餐', '這邊', '整體', '什麼', '因為', '覺得']"
ChIJffQZ6YipQjQRAdV3sCg2bcM,"['餐點', '有點', '好喝', '份量', '黑板', '草莓', '吐司', '羊肉', '搭配', '18']"
ChIJjfzEsLCrQjQRLJYMdi8QOaM,"['漢堡', '餐點', '不過', '選擇', '不錯', '薯條', '美式', '半份', '芝麻', '比較']"
ChIJ7U64LwmpQjQRf-tzrAv4f24,"['豬肋排', '...', '美式', '一送', '服務', '飲料', '用餐', '酒精', '有點', '不錯']"
ChIJC9sUawmpQjQRgZ9zXjfIOGs,"['價格', '份量', '這個', '不錯', '現在', '便宜', '培根', '海鮮', '150', '餐廳']"
ChIJ56e1yA6pQjQRa86JWGRZaTw,"['用餐', '套餐', '空間', '態度', '蛤蜊', '黑糖', '牛舌', '豐富', '增湯', '服務生']"
ChIJ2UVo8acCaDQRNW8XqXoylIo,"['小時', '用餐', '限時', '炸物', '運站', '三個', '190', '餐點', '特別', '服務態度']"
ChIJNazWIAmpQjQRoqSVTRnHUKY,"['廚師', '餐點', '服務', '一個', '小時', '這麼', '英文', '非常', '食物', '過年']"
ChIJ10E587epQjQRxDWVkBUcoYc,"['份量', '餐點', '不錯', '價格', '應該', '一顆', '蛤蜊', '酒水', '清淡', '甜不辣']"
ChIJlU8vZZSpQjQR3saDqxGerPg,"['沒有', '比較', '感覺', '不錯', '鮭魚', '覺得', '一個', '沒什麼', '什麼', '缺點']"
ChIJv1pkyh2oQjQRd4QqrZSpTKo,"['明太子', '水蓮', '松阪豬', '居酒', '喜歡', '現金', '推薦', '烤串', '雞肉串', '口感']"
ChIJ-w1K7-GpQjQR9a60JKrJ50U,"['感覺', '非常', '梅酒', '有家', '適合', '美味', '下次', '有趣', '吧台', '很甜']"
ChIJw9YjmtGpQjQR9KQWMjBhQf0,"['港式', '不會', '奶茶', '少油', '茶餐', '餐點', '不錯', '應該', '選項', '沒有']"
ChIJ71Sjki2pQjQRCggfOU6KAUg,"['感覺', '明太子', '整體', '東西', '應該', '餐點', '起司', '覺得', '七味', '山藥']"
ChIJ_aicSSeoQjQRUYgtIA8Os_k,"['牛排', '服務', '套餐', '這麼', '這邊', '這盤', '雖然', '沙朗', '沒有', '不錯']"
ChIJD_oWaympQjQRkprBgkPtVFI,"['烤餅', '印度', '咖喱', '料理', '炒店', '開幕', '餐廳', '適中', '莎拉', '份量']"
ChIJi0b12AipQjQRAzCoNJDN9Pc,"['點餐', '價格', '一樣', '可以', '湯頭', '有點', 'QR', '裡面', '調整', '代號']"
ChIJYzULsKapQjQRYydje7x5Uv8,"['餐廳', '小菜', '菜色', '用餐', '非常', '還有', '東坡', '不膩', '入味', '味道']"
ChIJ0eHisiuoQjQRMPpOC4ZSpSk,"['菜色', '價格', '很新鮮', '選擇', '點了', '每樣', '推薦', '新店', '非常', '味道']"
ChIJPQLBOwipQjQRw6qqpGL2YQg,"['濃湯', '餐點', '飲料', '大利', '好喝', '貴妃', '起司', '230', '點餐', '青醬']"
ChIJsbwVEwmpQjQRi1MUchsufxA,"['飲料', '調味', '餐點', '味道', '整體', '評價', '西門', '雞肉', '起司', '導致']"
ChIJFUqSDBeoQjQRZRJDPCSQzIo,"['廁所', '結果', '日式', '不外借', '不錯', '一點', '詢問', '餐廳', '顧客', '沒有']"
ChIJ_e4jawmpQjQRe8wWU3dI2BA,"['豬腩', '口味', '下次', '吃過', '湯頭', '這次', '還有', '每碗', '算是', '成服']"
ChIJyy4_ncarQjQRXoUqYmsV6QY,"['雞肉', '咖哩', '甜點', '招待', '好喝', '不錯', '烤餅', '羊肉', '中文', '咖喱']"
ChIJV81H1GmpQjQRrtFMcAyTTBs,"['沒有', '喜歡', '干貝', '有點', '甜點', '口味', '整體', '魚湯', '他們', '沙拉']"
ChIJt2exNxurQjQROcDnwKLeXA4,"['餐廳', '服務人員', '用餐', '驚喜', '品嚐', '菜單', '木塞', '料理', '同時', '總價']"
ChIJv9BO7e6rQjQRzagRJUnB00g,"['推薦', '羊肉', '親切', '搭配', '咖喱', '旁遮普', '飲料', '店員', '咖哩', '口味']"
ChIJaUYcX82rQjQRSvwF_TroImQ,"['烤餅', '喜歡', '咖哩', '印度', '非常', '餐點', '特別', '商業', '親切', '很道']"
ChIJC7O1YVqrQjQRnSfu8cKy2EA,"['10%', '咖哩', '料理', '餐點', '印度', '烤餅', '環境', '餐廳', '羊肉', '拉西']"
ChIJt9661tCrQjQRXMVpa4A5Bmg,"['餐點', '沒有', '兩道', '推薦', '用餐', '幾道', '餐廳', '甜點', 'share', '時間']"
ChIJR8oqZMWrQjQR1ecGLvALNJM,"['起來', '咖哩', '咖喱', '裡面', '有點', '香料', '烤餅', '優格', '喜歡', '料理']"
ChIJ6XfOP82rQjQR23E0Moak_0M,"['豬腳', '不過', '啤酒', '香腸', '餐廳', '訂位', '皮脆', '地下室', '肉汁', '非常']"
ChIJpdkbPm2pQjQR8IPxB9Jy8rI,"['推薦', '台灣', '不過', '調酒', '中山北路', '氣氛', '餐酒館', '客滿', '感覺', '這是']"
ChIJZy74pFOpQjQRAoras4dZhfI,"['那麼', '沒有', '壽司', '這個', '餐點', '什麼', '那邊', '這麼', '謊言', '因為']"
ChIJ3ykBWbcJqjYR8DQq4xL_nqk,[]
ChIJk6wMvLcJqjYRXRsE_oAIi6U,[]
ChIJEe3ZorcJqjYReLv3crY0VAQ,[]
ChIJE8INEbcJqjYR994PDqe_eOU,[]
ChIJnSUcyWbiATQRFGcPXueIe7c,[]
ChIJ56wtFLYJqjYRy6c0Z7OHVmQ,[]
ChIJqccGtrcJqjYRBZaY_YJP1TY,[]
ChIJCVRz6NniATQRik0XdRvD_-I,[]
ChIJaabVq7cJqjYRf8lbNdO1vc8,"['eat', 'My', 'dad', 'their', 'most', 'his', 'birthday', 'there', '30', 'years']"
ChIJr4raHbYJqjYRX2ZLhqudDBs,[]
ChIJSxvqwtniATQRJwUglHccG8I,[]
ChIJucNey2biATQRpB2eQV3BBLc,[]
ChIJAX_359niATQRI69utI7QS3Q,[]
ChIJd82WGvOrQjQRNIfDICcM22A,"['餐點', '食材', '料理', '香氣', '餐廳', '刺蔥', '特別', '口感', '原住民', '牛肝菌']"
ChIJWdWgdsmrQjQR0pwPQK6ju1Y,"['西班牙', '料理', '也許', '餐廳', '蘑菇', '巴斯克', '去過', '不會', '覺得', '海鮮燉']"
ChIJ8Rj6E8arQjQRLJpWwZcs6GA,"['服務', '松露', '餐點', '我妹', '燈光', '溫馨', '野菇', '薯條', '餐酒館', '適合']"
ChIJV_lN5tOrQjQREz8-EdNHofw,"['有點', 'pay', '真的', '水餃', '價位', '環境', '乾淨', '整潔', '點了', '餃子店']"
ChIJweovLs2rQjQRxNJvMGxKxMI,"['大利', '套餐', '開胃', '飲料', '不錯', '份量', '用餐', '時間', '價格', '披薩']"
ChIJG8HjuoyrQjQRvmbu3LT2wD0,"['餐點', '一點', '不過', '推薦', '口味', '西班牙', '配上', '口感', '沙丁魚', '花滔']"
ChIJk_1phJarQjQRDk6v02TsK5s,"['喜歡', '餐點', '水蓮', '不錯', '還有', '建議', '吃不完', '可以', '招待', '羊肉']"
ChIJOfxrFryrQjQRdvXjLBDZ9h4,"['牛筋', '因為', '下酒', '用餐', '明太子', '裝潢', '建議', '居酒', '不錯', '干擾']"
ChIJCcSeTHStQjQRwSfEBB9FKyY,"['親切', '推薦', '食物', '明太子', '酒屋', '氛圍', '鮭魚', '還不錯', '整體', '點了']"
ChIJx_wwdRSrQjQRmxHINvzpGE0,"['一個', '驚艷', '鱈魚', '起來', '整個', '豬排', '日式', '酥脆', '慢慢', '脆皮']"
