place_id,name,business_status,wheelchair_accessible_entrance,type,rating,editorial_summary,user_ratings_total,price_level,formatted_phone_number,formatted_address,opening_hours,dine_in,delivery,"location(lat,lng)",reviews_text,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,keywords
ChIJq6qqqgasQjQRJBvn1_-rrCc,劍潭公園,OPERATIONAL,True,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.2,,632,,02 2585 0192,111台灣台北市士林區中山北路四段,"{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['星期一: 24 小時營業', '星期二: 24 小時營業', '星期三: 24 小時營業', '星期四: 24 小時營業', '星期五: 24 小時營業', '星期六: 24 小時營業', '星期日: 24 小時營業']}",,,"{'lat': 25.0799836, 'lng': 121.5248317}","['步行通往圓山大飯店的路\n\n劍潭公園建造於西元1967年，位於臺北盆地北側、圓山大飯店西側、劍潭捷運站及中山北路四段旁，為一狹長小型公園，面積為6,935平方公尺，圓拱門為劍潭公園的特徵，造型典雅，古色古香。', '市區鬧中取靜的運動好去處，步道與象山相比下只有60~70%的坡度程度。中間點的老地方觀景平台是整個步道的重頭戲......若都往此處，劍潭上山除了一開始的樓梯外，中後段就平坦許多(但路程較長約2.2公里);通北路上山會較多樓梯(但路程約800~900公尺),可依個人狀況調整。\n\n路段中植披變化很多，步道也有分石梯.木棧道.林道.......,讓整段路程不會枯燥乏味，而且還可看到過去哨兵站哨的地點(過去軍事管制時並不開放)。\n\n景觀部分可分為兩側，分別看:\n1.士林.北投.淡水區(劍潭步道沿途不定時出現)\n2.中山.內湖.南港.信義.中正(老地方觀景台)\n\n整體視野非常廣闊，如果有興趣的朋友還可看到松山機場起降的飛機!\n\n整步道如果走完+觀賞沿途風景可在三小時內完成(體力不會太差的狀況下)，但仍請記得帶足飲水及備用食物(中間可嘴饞補充)!\n廁所部分從劍潭登山口後上來15~20分鐘內可遇到(卡拉ok點.福德廟.高壓電塔建築下),再上去則無(通北路上山的朋友，上前請先找店家或捷運站,此路段無廁所)!\n\n如果有外地朋友來玩或在地朋友想介紹給外地朋友，此處和象山都是捷運和公車可到的市區登山花園，可前來走走運動!', '臺北市坐擁五大山系，登山步道密佈且各有其特色。最近疫情的新聞令人緊張，不如趁著假日好天氣，呼朋引伴相約走入山林。大夥兒走在青翠連綿、生氣盎然的綠色走廊，呼吸新鮮空氣，舒展筋骨、遠離3C資訊產品，提高身體免疫力，不僅對自身好處多多，對於提倡減碳、落實環保的議題，加減也有推動作用唷！\n\n今天在劍潭捷運站二號出口集合，沿著基河路往圓山飯店方向走，在通河街與中山北路口，過馬路至對面的劍潭「福正宮」。福正宮旁的「圓山風景區」牌樓，即為今天健行的起登點。今天的路線安排，大致分為三階段，活動的時間約五小時。\n\n基本上步道沿途都有茂密的樹蔭遮蔽，不用擔心烈日曝曬，加上沿途有多處平台可供休息及觀景，特別是「劍潭山步道」及「文間山步道」坡緩易行，相當適合親子同遊，惟後段的「金面山步道」，因多為砂岩石階、石壁、枕木或土徑組成，若走在盤根錯節的樹根階梯或岩壁上，會需要攀繩的協助。真要挑剔的地方，就是部分路段的木棧道可以再加強，因為遊客頗多，相關的維護單位應定期巡檢，待修繕的路段以降低意外發生。\n\n第一階段：劍潭山步道\n→劍潭公園→金剛寺→圓山風景區→中央廣播電台→劍潭山景觀台→劍潭山三角點→拓印台→圓山步道：六美 繁榮台北→圓山步道：七美 觀音夕照→圓山步道：八美 老地方(觀機平台)→少林亭→東吳大學環山步道圖示牌。\n\n第二階段：文間山步道\n→文間山步道→劍南山→劍南路(產業道路)→鄭成功廟→圓明寺步道。\n\n第三階段：金面山步道\n→金面山步道→論劍山→論劍亭→剪刀石山→金面山→泰安亭→環山路(港華公園)→港墘路。', '從捷運劍潭站步行至中山北路、通河街口，過馬路即達劍潭公園。與中山北路平行、狹長型的劍潭公園，是最方便民眾步行至圓山大飯店的通道，公園入口的日本狛犬（日語：狛犬／こまいぬ\xa0komainu）是形似獅子和犬的日本幻想生物，通常置於神社、寺院入口的兩側或本殿，作為守護神像。劍潭公園的一對狛犬，以日本國內上等花崗岩雕鑿而成，原是圓山神社的文物，奉納於1902年，神社拆除後移至現地，現為全台灣傳世戰前神社相關文物中，年代最早的一件日本風格狛犬。狛犬的特色在於後垂的兩片大耳、豎立如毛筆的大尾巴（很像超大筍子）、渦旋式鬃毛，造型很是可愛。', '交通便利，出捷運站走五分鐘就抵達入口，除了一開始的直上樓梯比較累以外，後面幾乎都不太困難，沿途上山還會遇見簡單的羽球場和許多歌聲，到山上後視野也非常好~一片綠意讓人心情舒爽，大推。']",,,,,,"['步道', '公園', '劍潭', '圓山', '中山北路', '運站', '金面', '神社', '沿途', '劍潭山']"
ChIJ0YPICcirQjQRZ2w-r0xptyw,中山公園,OPERATIONAL,True,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",4.3,"{'language': 'zh-TW', 'overview': '環境清幽的城市公園，建有占地廣大的紀念堂，並坐擁庭園、綠地空間和湖泊。'}",8479,,02 2758 8008,110台灣台北市信義區仁愛路四段505號,"{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['星期一: 24 小時營業', '星期二: 24 小時營業', '星期三: 24 小時營業', '星期四: 24 小時營業', '星期五: 24 小時營業', '星期六: 24 小時營業', '星期日: 24 小時營業']}",,,"{'lat': 25.0386114, 'lng': 121.5597529}","['💖分享中山公園的風景於你妳💞輕鬆愉快出門走路看風景，心情好美麗；身體好健康👍\n正面能量～💞～你妳的每一天都會富有喜悅😁活得好自在💫\n#板藍線～捷運國父紀念館站～很便捷的交通工具👍\n💖⭐️💖⭐️💖⭐️\n可安排一日遊行程～\n⭐️參觀國父紀念館，常有豐富的展覽👍&\n中山公園真～大巨蛋～松菸～臺北101💖\n🐲💖來台北過新年的你妳～🉑排的行程～臺北101～信義商圈～國父紀念館～大巨蛋～松菸～腳力好～用走的自由行逛這一個環狀行程～💞沿路上都有值得吃吃喝喝的美食💞', '國父紀念館周圍的空地公園，設施不多，主要是空曠跟綠地', '國父紀念館天氣好周邊的大家都来運動，那裡的餐廳多生意超好，中山公園機能多做運動散步周邊的交通也方便就是台北市功能公認的好公園', '來這邊週末的好好市集看喜愛駐唱歌手的戶外演出，市集很多環境氛圍不錯，草坪也很乾淨舒服🥰，表演區規劃的也很好，很舒服自在的一個地方🤘👍', '✅️從國父紀念館右側（光復南路入口）\n🌳🌿幽靜深思的場所。\n🚇交通：板南線 國父紀念館站（3／4號出口）\n😋光復南路出口對面有麥當勞💛']",,,,,,"['公園', '國父', '紀念館', '父紀念館', '巨蛋', '101', '周邊', '運動', '行程', '中山']"
ChIJL9QqTr-rQjQRJnFBOlIs4ao,巴洛克花園,OPERATIONAL,True,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.5,,150,,02 2765 1388,110台灣台北市信義區菸廠路88號,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['星期一: 08:00 – 18:00', '星期二: 08:00 – 18:00', '星期三: 08:00 – 18:00', '星期四: 08:00 – 18:00', '星期五: 08:00 – 18:00', '星期六: 08:00 – 18:00', '星期日: 08:00 – 18:00']}",,,"{'lat': 25.0436505, 'lng': 121.5605456}","['晚上昏暗 視線不良\n以為 水池旁的人影 是在拍照\n但動也不動 恐怖的聲音\n又從旁邊的 幻隱光靈 鬼屋 傳出來\n所以不敢走進去\n\n繞了走廊一大圈\n才鼓起勇氣進去看\n發現是白色雕像\n好像心情不太好\n在等人的樣子\n\n---\n臉上要等幾次輪迴的哀傷\n也許 她早就知道答案了\n有些人是再也不會回來的\n\n祝 早日 走出', '鬧中取靜，天龍國中散步好去處，古典的巴洛克加日式辦公廳舍，適合沉澱放鬆', '🏛位在松山文創園區內，在老舊建築的包圍中，沒有特別走進來，還不知道有這樣的一座花園，看得出來這座巴洛克花園維持的狀況很不錯，從周邊的水泥造景，有幾位天使的造景中，還有一塊水泥廣場空地，可以發現都有一些歷史的痕跡。\n\n🏛曾經在三月份來訪時，當天剛好晴天，可以看到整個花園開滿了許多花朵，也是這座公園最美麗的時刻，而正逢秋天的現在，只有中央水池不斷的水流，與兩旁的走道與綠色植物，偶有的花朵也只是少數中的點綴，但即便如此，對於這樣的環境個人覺得還是不錯的。\n\n🏛享受綠色植物的包圍加上濃濃的歷史味，讓自己幾次來訪此處，都還是會繞過來走走，雖然腹地不是很廣，但因為整個活化的松菸，不僅在松菸外的生態區，在此處被歷史建築所包圍的花園，還是隱藏不住他的特殊價值，主要帶著巴洛克的風格，代表著一個時代的美，一個歷史。\n\n📓引用維基百科：\n巴洛克時期的建築物，一方面有著更強烈的情緒感染力與震撼力，另一方面引人注目、炫耀教會的財富與權勢。新的建築風格尤其體現出新宗教修會的時代背景，例如戴蒂尼會與耶穌會，其目標是增進宗教的普遍與虔誠。十七世紀中葉，巴洛克風格轉而表現於豪華宮殿上，首先出現在法國，如弗朗索瓦·芒薩爾設計的拉斐特之家城堡，隨後遍及歐洲。\n\n🚘停車場：有附設汽機車專屬的停車場，臺北文創大樓收費停車場\n👨\u200d💼其他說明：\n1.從松山文創園區一號倉庫或是四號倉庫步行到松菸口穿越大樓後即可抵達。\n2.周邊經常會舉辦特展，來訪的時候可以上網看看現行的開放何種展覽。\n3.此處非常適合喜愛拍照的朋友，很多地方都是取景的好地方。\n\n🏛來訪日期：2022/10/21', '很棒的花園\n很喜歡這個噴水池', '喜歡都市中有這靜謐之處，噴水池在光影下好美！週末晚間散步來這聽“夏日松一下”音樂表演 有愜意～']",,,,,,"['花園', '巴洛克', '水池', '建築', '包圍', '歷史', '來訪', '風格', '停車場', '進去']"
ChIJX-2kzX6tQjQR2cUT0ulBDJY,大佳碼頭,OPERATIONAL,,"['tourist_attraction', 'point_of_interest', 'establishment']",5.0,,1,,,10491台灣台北市中山區大佳碼頭,,,,"{'lat': 25.076183, 'lng': 121.5374}","['Came here on a weekday morning, very quiet and peaceful. Plenty of parking.']",,,,,,"['Came', 'here', 'weekday', 'morning', 'very', 'quiet', 'peaceful', 'Plenty', 'parking']"
ChIJYaZ60WWpQjQRY1QCzxly33M,七條通,OPERATIONAL,,"['tourist_attraction', 'point_of_interest', 'establishment']",4.1,,154,,,10491台灣台北市中山區林森北路119巷88號,,,,"{'lat': 25.0501288, 'lng': 121.5278302}","['很有特色的街道 特別是在過年期間 沒有太多人 走起來很有悠閒 有古老街頭的感覺', '很有特色的小街巷，夜晚跟白天不一樣感覺，不過受疫情影響少了外國遊客熱鬧程度差很多', '在繁華的林森北路條通這附近，周邊都是算夜生活區域，疫情剛結束，人潮應該還未恢復之前車水馬龍的。', '現在比較好了沒有以前複雜。', '過去酒店，酒館，卡拉OK林立\n現在則是日式居酒屋，串燒……等琳瑯滿目的小餐廳林立，時代也造就不同的營業店面，使街景亦不同以往！']",,,,,,"['感覺', '林立', '疫情', '特色', '走起', '特別', '在過', '沒有', '太多人', '悠閒']"
ChIJH-dCbdCrQjQRv1iPgAxzcNc,敦仁公園,OPERATIONAL,True,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.2,,381,,,106台灣台北市大安區敦化南路一段236巷26號,"{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['星期一: 24 小時營業', '星期二: 24 小時營業', '星期三: 24 小時營業', '星期四: 24 小時營業', '星期五: 24 小時營業', '星期六: 24 小時營業', '星期日: 24 小時營業']}",,,"{'lat': 25.04037259999999, 'lng': 121.546911}","['台北市有許多小公園隱藏在大樓叢林中的小公園，這種小公園在都市中遍地是鋼筋水泥大樓中。顯得彌足珍貴，敦仁公園便是一個小而有藝術感又給人安心的綠地。', '被周邊豪宅大樓包圍的小公園，顯得有些違和感但又巧妙的融入其中，公園內的小丘還有設置抱石，能讓小小孩體驗手腳並用。\n佔地不大但規劃得還不錯，地面感覺是新舖設的安全地面，台北燈會的關係，公園前的小空地還有一個大型展品，可趁燈會期間來看看。', '2023年台灣燈會在仁愛里的敦仁公園放置一座燈展「仁愛帆城」，以木構船帆象徵仁愛里的林立建築，簡單的線條盡顯藝術家的創意。', '位在忠孝東路敦南SOGO後面假日溜孩子的地方，有沙堆可以玩也有水可以供清洗，有鞦韆，單桿遊戲設施但比較少適合小小孩，有一小塊空地可以練騎車，跳繩，微涼的秋天可以，但夏天會很熱因為沒有可以遮陽的地方，台北市區有個公園是挺不錯的', '原址為地方的警察局，因為老舊而拆遷，現址改成公園，有基本的兒童設施，如盪鞦韆、溜滑梯、沙坑、吊環等設計。\n這裡地方雖小，基本的公園設施都有，供鄰近住戶一個休憩的地方。']",,,,,,"['公園', '小公園', '大樓', '一個', '設施', '敦仁公園', '還有', '燈會', '地方', '台北市']"
ChIJH_p6JIWrQjQRuiL2tiFaEm4,彩虹河濱公園,OPERATIONAL,True,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.4,"{'language': 'zh-TW', 'overview': '位於地標彩虹橋旁，有河畔網球場、壘球場和自行車道。'}",4464,,,114台灣台北市內湖區堤頂大道一段,"{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['星期一: 24 小時營業', '星期二: 24 小時營業', '星期三: 24 小時營業', '星期四: 24 小時營業', '星期五: 24 小時營業', '星期六: 24 小時營業', '星期日: 24 小時營業']}",,,"{'lat': 25.059919, 'lng': 121.572304}","['這年轉2024，我和我心愛的小公主共赴台北101，原本構想在人潮湧動的熱鬧場所欣賞跨年煙火。但考慮到混亂的情景，最終我選擇了河濱公園，一個讓我們能遠眺101的優雅場所。\n\n當我們在22:30左右抵達河濱公園時，發現已經有許多人跟我有相同的想法。公園充滿了氛圍，人們或坐在濃密的草地上，或選擇在精緻的台階上安坐，亦或是只是來這裡散步、打球的遊客。河濱公園在這特殊的夜晚，變成一個融合了各式各樣人群的文化據點，大家共同迎接即將來臨的煙火盛會。\n\n回溯去年8月，我答應了小公主要帶她看迪士尼煙火，卻因為未掌握活動時間，讓她備感失望。當她哭泣並指責我欺騙她時，我像個受傷的孩子一樣感到內疚。然而，這次在台北101河濱公園的遊玩，算是對她的一種補償。在這片河畔的夜空中，煙火如夢中的繽紛星光，雖然距離稍遠，但卻顯得更富詩意。\n\n當倒數的時刻結束，煙火輕輕升起，五光十色的繽紛煙花在夜空中綻放，壯觀而美麗。幸運的是，沒有濃霧的干擾，101展現的煙火絢爛夺目。這一刻，小公主清澈的雙眼中充滿了初次體驗的新奇，我也因能夠陪伴她共同見證這美好瞬間而感到滿足。\n\n河濱公園的選擇，雖然非101旁，但在距離外營造出一種寧靜的觀賞氛圍，使我們免受擁擠之苦，同時欣賞到層次豐富的煙火秀。這是一趟充滿愉悅與感動的夜晚，成為我們美好回憶的一部分。或許明年，我們還會再度來到這片公園，一同迎接屬於新一年的煙火璀璨。', '跨年夜前來\n如果是騎機車的話要停在對面\n然後走地下道過來\n如果開車的話\n應該蠻早就車位已滿了\n會有警察管制\n\n大概快11點前來\n人沒有到很多\n但就會陸陸續續增加\n也會看到有攝影師搶好位子\n\n如果下次還要再來的話\n不計較位置的話\n可以11點半來都可\n不擁擠\n也很好到達\n是一個不錯的景點\n\nDec, 31, 2023', '看網路說這裡是可以看101跨年煙火的好地方，來的時候河邊的停車場都在管制，所以轉去市區的停車場找位置停。這裡看煙火真的很棒，視野遼闊而且看101非常清楚，看完要離開也沒有塞到什麼車。', '一個不會人擠人可以看到101煙火的好地方\n\n要注意交通管制，可以提早進來等，也有看到有人搭帳篷，可以直接搭車，走過堤防後就可以看到101，從對面走的話可以走地下道穿越後抵達，建議直接搭車前往\n\n看煙火的位置：有棒球場，籃球場，麥帥二橋旁邊的點，都可以看到101，\n\n週邊環境：有交通管制，無法開車進河堤，有臨時的公共廁所，沒有攤販，可以自己帶點心飲料，搭配草皮席地而坐，非常愜意，推薦給想看101煙火又不想人擠人的人們！\n\n2024新年快樂！', '很棒的場地，停車也方便。\n下場騎車時，因為我們家葛格沒帶護具騎結果立馬見紅。\n建議新手來騎，一定要帶完整護具才安全喔！']",,,,,,"['101', '煙火', '公園', '河濱', '一個', '選擇', '充滿', '這裡', '跨年', '可以']"
ChIJH4IJxFOpQjQR6Kp2INUhTlo,圓山河濱公園,OPERATIONAL,True,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4.2,"{'language': 'zh-TW', 'overview': '適合跑步和騎單車的熱門河濱綠地，可在會亮燈的橋上一覽美麗夜景。'}",595,,02 2720 8889,10491台灣台北市中山區,"{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['星期一: 24 小時營業', '星期二: 24 小時營業', '星期三: 24 小時營業', '星期四: 24 小時營業', '星期五: 24 小時營業', '星期六: 24 小時營業', '星期日: 24 小時營業']}",,,"{'lat': 25.07377799999999, 'lng': 121.526473}","['寧靜享受美景的地方，台北近郊可以垂釣野餐的大慢活空間。', '晨安6：10~7：00來個Youbike騎車行(圓山河濱公園-雙溪河濱公圓)。\n從圓山河濱公園出發，延途可欣賞到河堤周邊景緻及早晨出來運動的朋友有走路、練功、跳土風舞、騎車...適逢端午前夕還可看到龍舟選手訓練情景，至雙溪河濱公園也可看到河水光波潾潾不同景像。不仿腳力不行的可選擇騎車也是不錯運動。\n行程因走走停停故時間約40~50分左右。', '輕鬆自在休閒的好地方\n很推薦', '不在市區，又在市區的公園。\n交通地點非常方便，鄰近花博公園、台北市立美術館，\n在繁華熱鬧的台北市區旁，一個轉身就進入與自然山水相親的天地秘境。\n寬闊的河濱道路可以散步、慢跑、騎單車、蹓小孩與毛小孩，\n橋下也有一溜冰場，合適青少年們的練習活動。\n河濱道路可以連通經大稻埕再往淡水，也可以由北安路往內湖，\n河的另一畔是大佳河濱公園。\n延走道路兩旁，不時還能看到各式鳥類、蟹、龜出遊活動，算是意外驚喜。\n靠近北安路、內湖一側，也有公園設施及籃球場、網球場，\n不花大錢，在此就有超值享受!', '從美堤河濱一直騎到圓山河濱\n就在大轉彎的地方看到基隆河左轉\n河面就會比較寬在這裡看感覺真棒']",,,,,,"['河濱', '濱公園', '公園', '山河', '運動', '騎車', '市區', '活動', '北安路', '溪河']"
ChIJp5AbnLCrQjQR4OZnOWc6RCU,香堤大道廣場,OPERATIONAL,True,"['tourist_attraction', 'point_of_interest', 'establishment']",4.5,"{'language': 'zh-TW', 'overview': '開闊的戶外廣場，四周林立著各式各樣的商店和餐廳，還有多項活動和街頭藝人表演。'}",3738,,,110台灣台北市信義區松智路松仁、松壽、松高路段之間,"{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['星期一: 24 小時營業', '星期二: 24 小時營業', '星期三: 24 小時營業', '星期四: 24 小時營業', '星期五: 24 小時營業', '星期六: 24 小時營業', '星期日: 24 小時營業']}",,,"{'lat': 25.0372475, 'lng': 121.5669851}","['充滿活力的廣場，街頭藝人表演我最喜歡看運轉水晶球那位光頭帥哥，另外有些歌手實在是不敢恭維😂，假日還常看見市集，但不全是手作工藝或甜點，感覺是批貨來的便宜童裝或女裝，拉低水平線。', '2023.11.20.幾乎每年都會來這走走，享受聖誕氣氛，熱鬧的街道，過往人潮快樂的氣氛~\n聖誕樹很漂亮，會變色每隔一段時間，還會下雪，營造聖誕節即將到來的歡樂~', '初次來信義過聖誕節\n跟朋友要去新北耶誕城\n先來這邊又有逛逛\n人潮很多 活動也很多\n不愧是貴婦百貨高級區\n到處都是精品的香味🤣\n也能看得到101大樓\n這天天氣不好 霧濛濛的', '📍新光三越信義新天地A11-時光之樹 / 台北。\n【期間限定】今年這棵雪白的耶誕樹，在信義商圈非常的顯眼。\n白色羽毛般葉片交織成的耶誕樹，很美很好拍！\n\n整個信義商圈也都充滿了璀璨燈飾，\n相信到了晚上一定很美~\n\n-----------------------------🌟相關資訊🌟---------------------------------\n⭐地址：台北市信義區松壽路11號(門口）。\n⭐門票：免費。\n⭐展出日期：即日起-113.01.03。\n⭐營業時間：24小時開放。\n⭐聲光秀+飄雪：每日16：00~22：00，\n於整點、30分，會有3分鐘的音樂+燈光秀，\n於15 分、45 分也會展演 2 分鐘的聲光秀演出。\n⭐拍攝日期：112.12.07。\n----------------------------------------------------------------------------------------- #新光三越信義新天地 #新光三越 #台北 #時光\n#台北景點 #信義 #聖誕節 #聖誕樹', '聖誕節氛圍感濃厚，還有偽雪景，小孩超開心，很多市集攤販一旁還有售票遊樂設施，可以讓小孩耗電的好處去。']",,,,,,"['信義', '聖誕節', '三越', '新光', '台北', '充滿', '聖誕樹', '時間', '時光', '耶誕樹']"
ChIJoTYtzOqsQjQRmf9ZnEZDcjk,錦帶橋,OPERATIONAL,True,"['tourist_attraction', 'point_of_interest', 'establishment']",4.5,,719,,02 2553 2332,114台灣台北市內湖區大湖街,"{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['星期一: 24 小時營業', '星期二: 24 小時營業', '星期三: 24 小時營業', '星期四: 24 小時營業', '星期五: 24 小時營業', '星期六: 24 小時營業', '星期日: 24 小時營業']}",,,"{'lat': 25.0809742, 'lng': 121.6035153}","['大湖公園位於台北市內湖盆地東側，毗鄰白鷺山、遙指五指山、忠勇山等，舊名十四份埤（陂），因白鷺成群又稱白鷺湖。\n\n興建於1979年（民國六十八年），仿中國園林式設計，湖泊面積約10公頃餘，是台北市境內最大的大型湖泊之一（另一座鄰近的大型湖泊為同樣位於內湖的碧湖，又名為內湖大埤，兩湖是內湖的地標。），屬區域性公園。\n\n榮登國外評選「世界最美的公園之一」！尤其園區內的「錦帶橋」在國外網站boredpanda票選為全球最美仙境之橋！\n\n風景優美，交通便利（搭大眾交通工具，捷運、公車即可輕鬆抵達。），湖光山色、綠草如茵，是許多電視劇、廣告、攝影師最愛的取景地標。\n\n依山傍水，岸邊蜿蜒曲折，湖面如鏡，視野開闊，拱橋彷彿垂虹，每當山橫春靄，新柳拂水，遠處嵐影，盡入眼簾；亭中小歇、宜眺宜憩，雲水變幻，騁懷遊目，景色真的非常秀美。\n\n除山水景觀迷人外，落雨松、大花紫薇、阿勃勒、台灣欒樹、矮仙丹、杜鵑花、朱槿、軟枝黃蟬、梅花…等四時花草樹木，依時序將園區內各空間，抹上不同的美麗、夢幻色彩，尤其夏秋之季，煙雨瀰漫，仿如詩中畫，令人最癡迷。\n\n還以觀賞水鳥（白鷺、夜鷺、紅冠水雞、鴨子）、釣魚聞名。是台北境內一處老少咸宜，散步、休閒、沈思、療癒心靈的美麗地景。', '要天時地利的條件才會出現漂亮的樣子😂\n\n清幽放空的好公園！但沒事不會特地前來', '大湖公園落羽松現在正是觀看的好時機，，，', '錦帶橋-位於台北市內湖區大湖公園內，大湖舊名十四份埤，因白鷺鷥成群聚居於此，故又稱白鷺湖，大湖水面面積約十來公頃，是內湖區惟二的大湖泊，另一處就是臨近的碧湖，大湖公園屬於區域公園。\n\n1979年-民國68年錦帶橋興建之時，採用了中國園林式的設計，臨湖而立的橋體，涵洞式弧形拱架線條優美，白色欄杆又是典型中式特色，與後方綠意山林搭配下自然十分搶眼，宛如就是在湖面上繫了腰帶錦段，故名--錦帶橋。這時加上湖面波光倒映的光影變化，如再有春秋雨後飄渺氤氳水汽，此時仙氣就慢慢被喚了出來，會讓你恍如步入中國古典山水畫的仙境一般。這種美景哪裏找，這種美景當然不是天天有，所以你經常會看到一堆攝影愛好者與專家們，聚集於此痴痴等待，等待那或許只是瞬間出現的好時機，按下快門希望拍出如夢境般的仙境，或是光影幻化的奇妙美景。\n\n其實，早在2012年錦帶橋就曾分別登上法國-世界報，及英國-每日郵報的報導。\n\n隨著知名度的提高，為了增加公園的多樣性與可看性，公園處特地將遊園的時間，由白天延展到晚上，提升設備添加夜間照明，讓它變得更加漂亮更加璀璨，目前夜間照明設施是2013年增設的，在錦帶橋橋體增加夜間景觀，利用點狀光源，線狀光束，面狀光帶層層佈局串連起來，營造不同的光影和湖面波光效果，讓大家滿足拍攝的需求，也讓更多人可以認識大湖，果然美景是不會寂寞的，到了2014年又再次受到國外媒體的青睞，這次是Boredpanda發起全球各地-仙境之橋-的網路票選，當時有各國16座橋樑入圍，全球最美仙景美橋就是內湖錦帶橋，以569票遙遙領先群雄。\n\n大湖公園湖泊生態豐富，常見夜鷺，小白鷺，大冠鷲展翅高飛，魚兒，烏龜，野鴨，白鵝悠遊，鄰近有白鷺鷥山陪伴，湖光山色寧靜，草地綠蔭如織，視野開闊，如此美景讓你自然放緩腳步，享受片刻悠閒，湖的一端亮眼拱橋彷彿彩虹，當夜色來臨更是明艷如弦，似嫦娥之月，春秋時分煙雨迷濛時，如入畫裡，隨季節變幻有不同的美，這裏隨時都歡迎您，除了賞景也可垂釣，野餐，等活動，也可串連附近山區步道健行，旁邊還有游泳池，健身房，及兒童消防特色遊戲場，大湖公園確實有特色，方便您安排半日或是一日遊。', '夜遊大湖錦帶橋，微風細雨飄畔軾，\n餵食山東大餅塊，不見魚兒灘頭顯，\n煷燿兩岸夜鷺迹，間隔豈能逝適趶，\n謋逸誒晚膳清水，歸附又是湁御前。\n\n# 係我其身和樂融融相應輜嘉靖雴。\n# 悠哉褷釋憐惜情趣群峉荃灣師埡。\n# 意欲長策諡愷為文豎蔚為奇觀悟。']",,,,,,"['公園', '大湖', '內湖', '錦帶橋', '美景', '仙境', '帶橋', '夜間', '湖泊', '湖面']"
