place_id,keywords
ChIJq6qqqgasQjQRJBvn1_-rrCc,"['步道', '公園', '劍潭', '圓山', '中山北路', '運站', '金面', '神社', '沿途', '劍潭山']"
ChIJ0YPICcirQjQRZ2w-r0xptyw,"['公園', '國父', '紀念館', '父紀念館', '巨蛋', '101', '周邊', '運動', '行程', '中山']"
ChIJL9QqTr-rQjQRJnFBOlIs4ao,"['花園', '巴洛克', '水池', '建築', '包圍', '歷史', '來訪', '風格', '停車場', '進去']"
ChIJX-2kzX6tQjQR2cUT0ulBDJY,"['Came', 'here', 'weekday', 'morning', 'very', 'quiet', 'peaceful', 'Plenty', 'parking']"
ChIJYaZ60WWpQjQRY1QCzxly33M,"['感覺', '林立', '疫情', '特色', '走起', '特別', '在過', '沒有', '太多人', '悠閒']"
ChIJH-dCbdCrQjQRv1iPgAxzcNc,"['公園', '小公園', '大樓', '一個', '設施', '敦仁公園', '還有', '燈會', '地方', '台北市']"
ChIJH_p6JIWrQjQRuiL2tiFaEm4,"['101', '煙火', '公園', '河濱', '一個', '選擇', '充滿', '這裡', '跨年', '可以']"
ChIJH4IJxFOpQjQR6Kp2INUhTlo,"['河濱', '濱公園', '公園', '山河', '運動', '騎車', '市區', '活動', '北安路', '溪河']"
ChIJp5AbnLCrQjQR4OZnOWc6RCU,"['信義', '聖誕節', '三越', '新光', '台北', '充滿', '聖誕樹', '時間', '時光', '耶誕樹']"
ChIJoTYtzOqsQjQRmf9ZnEZDcjk,"['公園', '大湖', '內湖', '錦帶橋', '美景', '仙境', '帶橋', '夜間', '湖泊', '湖面']"
ChIJm9xM_6qrQjQRV2BWscfSqB8,"['文創', '園區', '松犬', '小莉', '照顧', '松山', '狗狗', '小黑', '一個', '這裡']"
ChIJkQEb8HKrQjQRD-ftkugwALQ,"['公園', '還有', '南港', '休憩', '磁場', '一種', '廣闊', '相當', '運動', '設施']"
ChIJZdjVGHupQjQR0G5JlJ1V8N0,"['公園', '廁所', '沙坑', '野餐', '華山文', '溜滑梯', 'n1', '旁邊', '04', '小朋友']"
ChIJxcQNseCrQjQRvTeG_O-byQA,"['公園', '相當', '小公園', '樹木', '設置', '面積', '人潮', '清幽', '很多', '可供']"
ChIJnzZlOoCpQjQRH-WG9egh-2E,"['公園', '大安', '生態', '還有', '休憩', '感受', '森林', '兒童', '活動', '繽紛']"
ChIJn82Pg9KpQjQRkRlgGUfUaI0,"['tour', 'so', 'guide', 'recommend', 'fun', 'able', 'do', 'time', 'history', 'Taiwan']"
ChIJWxySA6yrQjQRTf_PeWVFiRY,"['步道', '一個', '象山', '一線', '景觀', '公尺', '巨石', '行走', '小琉球', '常看到']"
ChIJz47O-6irQjQRQVdMJZmX3EE,"['步道', '山溪', '經過', '菜園', '一個', '沿著豹', '親山', '松山', '水量', '可以']"
ChIJHXo1xrarQjQRmsbo3A7jQPU,"['藝術', '裝置', '101', '大樓', '聖誕節', '人潮', '很多', '自拍', '地標', '溧亮']"
ChIJoXv-L56pQjQRJ0xYVbIxJrY,"['歡樂', '2024', '舞集', '轉為', '帶來', '黑幕', '黑衣', '幽暗', '高潮', '中山南路']"
ChIJ435SMk6pQjQRHX2j_wTq-hg,"['ufeff', '飛機', '拍照', '這裡', '景點', '不過', '公園', '裡面', '適合', '散步']"
ChIJTamiuZ2pQjQRsmnfkkID6UM,"['中正', '紀念堂', '這裡', '建築', '廣場', '一樣', '歷史', '文化', '喜歡', '活動']"
ChIJHeMcN0ypQjQRqC-gW14yNkQ,"['圓山', '摩天', '童樂園', '旋轉', '木馬', '廣場', '許多', '公園', '轉木馬', '天氣']"
ChIJXwmUvPKvQjQRIcw6du-JbaY,"['士林', '夜市', '萌虎', '2022', '10', '超級', '晝之夜', '活動', '舉行', '強勢']"
ChIJ18zXSrGrQjQR3k7dwGFeoX4,"['幾米', '公車', '空間', '月亮', '101', '裡面', '司機', '一個', '作品', '對面']"
ChIJ6cjgVKyrQjQRLXrpHcvqCFs,"['象山', '10', '分鐘', '步道', '登山', '101', '感覺', '抵達', '不會', '至此']"
ChIJZ9NlKYuvQjQRcrYr5hCEhUw,"['微醺', '時候', '會動', '恐龍', '好乾', '巨似', '出來', '建築', '近捷運', '夜市']"
ChIJJ1M1aoKpQjQRlhUbt-wM1f0,"['美食', '永康', '景點', '台北', '遊客', '東門', '品嚐', '這裡', '餐廳', '文創']"
ChIJux2ma0uqQjQRZEceykosUg4,"['樓梯', '101', '公園', '人潮', '晚間', '吳興街', '進去', '景色', '看到', '佛光山']"
